city,practice_name,address,phone,email
Amsterdam,"Asterweg Medisch Centrum Noord, Huisartsen",Asterweg 6 1031 HN Amsterdam,020-3081777,
Amsterdam,BoLo Gezond,Bos en Lommerweg 189 1055 DT Amsterdam,020-6868696,
Amsterdam,Caland Huisartsen,Pieter Calandlaan 101 1065 KK Amsterdam,020-6154545,
Amsterdam,"David de Boer, huisarts",Balthasar Floriszstraat 23 1071 VA Amsterdam,020-4706067,
Amsterdam,De Waterhoek Huisartsen,Pieter Calandlaan 260 1060 TS Amsterdam,020-6191146,
Amsterdam,DokterZuid,Stadionweg 37 1077 RW Amsterdam,020-6795252,
Amsterdam,Essink  en de Kool Huisartsen Bankwerkerij,Bankwerkerij 89 1021 NT Amsterdam,020-6360043,
Amsterdam,"Expat Medical Centre, Huisarts",Bloemgracht 112 1015 TN Amsterdam,020-4275011,
Amsterdam,Gezondheidscentrum Amstelkwartier,Amstelbeststraat 56-58 1096 GD Amsterdam,020-3081238,
Amsterdam,"Gezondheidscentrum Buiksloterham, Huisartsen",Distelweg 437 1031 HD Amsterdam,020-3081234,
Amsterdam,"Gezondheidscentrum Gein, Huisartsen",Wisseloordplein 50 1106 MH Amsterdam,088-2992020,
Amsterdam,"Gezondheidscentrum Holendrecht, Huisartsen",Niftrikhof 20 1106 SB Amsterdam,088-2992040,
Amsterdam,"Gezondheidscentrum Klein Gooioord, Huisartsen",Bijlmerdreef 1001 A 1103 TW Amsterdam,088-2992030,
Amsterdam,"Gezondheidscentrum Nellestein, Huisartsen",Liendenhof 114 1108 HE Amsterdam,088-2992050,
Amsterdam,Gezondheidscentrum Oostpoort,Polderweg 192 1093 KP Amsterdam,020-4352100,
Amsterdam,"Gezondheidscentrum Reigersbos, Huisartsen",Schonerwoerdstraat 7 1107 GA Amsterdam,088-2992060,
Amsterdam,"Gezondheidscentrum Sportheldenbuurt, Huisartsenpraktijk",Eef Kamerbeekstraat 503 1095 MP Amsterdam,020-6676690,
Amsterdam,"Gezondheidscentrum Venserpolder, Huisartsen",Drostenburg 5 A 1102 AM Amsterdam,088-2992070,
Amsterdam,Hendriks en Tempelman huisartsenpraktijk,Spanderswoudstraat 94 1024 LE Amsterdam,020-6363922,
Amsterdam,Heros Huisartsen,Osdorpplein 582 A 1068 TB Amsterdam,020-6671151,
Amsterdam,Hondsrugpark Gezond - Huisartsen,Hullenbergweg 250 1101 BV Amsterdam,088-2992090,
Amsterdam,Huisartenpraktijk Oostenburg,VOC-kade 600 1018 LG Amsterdam,020-8088008,
Amsterdam,Huisarts Amsterdam Oost,Vrolikstraat 191 E 1091 TW Amsterdam,020-6653273,
Amsterdam,Huisarts Gaffar,Arenpalmstraat 1 1104 DB Amsterdam,020-6005272,
